FEN,Evaluation
r2qr1k1/pp3pp1/1npb1n1p/3p3b/3P4/2N1BN1P/PPP1QPB1/R3R1K1 b - - 1 15,"{'type': 'cp', 'value': -481}"
r2qr1k1/pp3pp1/2pb1n1p/3p3b/2nP4/2N1BN1P/PPP1QPB1/R3R1K1 w - - 2 16,"{'type': 'cp', 'value': -431}"
r2qr1k1/pp3pp1/2pb1n1p/3p3b/2nP4/1PN1BN1P/P1P1QPB1/R3R1K1 b - - 0 16,"{'type': 'cp', 'value': -525}"
r2qr1k1/pp3pp1/2pb1n1p/3p3b/3P4/1PN1nN1P/P1P1QPB1/R3R1K1 w - - 0 17,"{'type': 'cp', 'value': -555}"
r2qr1k1/pp3pp1/2pb1n1p/3p3b/3P4/1PN1PN1P/P1P1Q1B1/R3R1K1 b - - 0 17,"{'type': 'cp', 'value': -567}"
r2qr1k1/pp3pp1/2p2n1p/3p3b/3P1b2/1PN1PN1P/P1P1Q1B1/R3R1K1 w - - 1 18,"{'type': 'cp', 'value': -439}"
r2qr1k1/pp3pp1/2p2n1p/3p3b/3P1b2/1P2PN1P/P1P1Q1B1/R2NR1K1 b - - 2 18,"{'type': 'cp', 'value': -512}"
r2qr1k1/pp1n1pp1/2p4p/3p3b/3P1b2/1P2PN1P/P1P1Q1B1/R2NR1K1 w - - 3 19,"{'type': 'cp', 'value': -393}"
r2qr1k1/pp1n1pp1/2p4p/3p3b/3P1b2/1P2PN1P/P1PQ2B1/R2NR1K1 b - - 4 19,"{'type': 'cp', 'value': -432}"
r2qr1k1/pp1n1pp1/2pb3p/3p3b/3P4/1P2PN1P/P1PQ2B1/R2NR1K1 w - - 5 20,"{'type': 'cp', 'value': -429}"
r2qr1k1/pp1n1pp1/2pb3p/3p3b/2PP4/1P2PN1P/P2Q2B1/R2NR1K1 b - - 0 20,"{'type': 'cp', 'value': -424}"
r2qr1k1/pp1n1pp1/2pb3p/7b/2pP4/1P2PN1P/P2Q2B1/R2NR1K1 w - - 0 21,"{'type': 'cp', 'value': -364}"
r2qr1k1/pp1n1pp1/2pb3p/7b/2PP4/4PN1P/P2Q2B1/R2NR1K1 b - - 0 21,"{'type': 'cp', 'value': -348}"
r2qr1k1/1p1n1pp1/2pb3p/p6b/2PP4/4PN1P/P2Q2B1/R2NR1K1 w - - 0 22,"{'type': 'cp', 'value': -327}"
r2qr1k1/1p1n1pp1/2pb3p/p6b/P1PP4/4PN1P/3Q2B1/R2NR1K1 b - - 0 22,"{'type': 'cp', 'value': -382}"
r2qr1k1/1p1n1pp1/2p4p/p6b/PbPP4/4PN1P/3Q2B1/R2NR1K1 w - - 1 23,"{'type': 'cp', 'value': -382}"
r2qr1k1/1p1n1pp1/2p4p/p6b/PbPP4/2N1PN1P/3Q2B1/R3R1K1 b - - 2 23,"{'type': 'cp', 'value': -390}"
r3r1k1/1pqn1pp1/2p4p/p6b/PbPP4/2N1PN1P/3Q2B1/R3R1K1 w - - 3 24,"{'type': 'cp', 'value': -346}"
r3r1k1/1pqn1pp1/2p4p/p6b/PbPP4/2N1PN1P/3Q2B1/3RR1K1 b - - 4 24,"{'type': 'cp', 'value': -450}"
r3r1k1/1pqn1pp1/2p4p/p6b/P1PP4/2b1PN1P/3Q2B1/3RR1K1 w - - 0 25,"{'type': 'cp', 'value': -275}"
r3r1k1/1pqn1pp1/2p4p/p6b/P1PP4/2Q1PN1P/6B1/3RR1K1 b - - 0 25,"{'type': 'cp', 'value': -292}"
r3r1k1/1p1n1pp1/2p4p/p6b/P1PP4/2Q1PNqP/6B1/3RR1K1 w - - 1 26,"{'type': 'cp', 'value': -240}"
r3r1k1/1p1n1pp1/2p4p/p6b/P1PPP3/2Q2NqP/6B1/3RR1K1 b - - 0 26,"{'type': 'cp', 'value': -247}"
r5k1/1p1n1pp1/2p1r2p/p6b/P1PPP3/2Q2NqP/6B1/3RR1K1 w - - 1 27,"{'type': 'cp', 'value': -191}"
r5k1/1p1n1pp1/2p1r2p/p2P3b/P1P1P3/2Q2NqP/6B1/3RR1K1 b - - 0 27,"{'type': 'cp', 'value': -463}"
r5k1/1p1n1pp1/2p2r1p/p2P3b/P1P1P3/2Q2NqP/6B1/3RR1K1 w - - 1 28,"{'type': 'cp', 'value': -221}"
r5k1/1p1n1pp1/2p2r1p/p2P3b/P1P1P3/2Q1RNqP/6B1/3R2K1 b - - 2 28,"{'type': 'cp', 'value': -214}"
r5k1/1p3pp1/2p2r1p/p1nP3b/P1P1P3/2Q1RNqP/6B1/3R2K1 w - - 3 29,"{'type': 'cp', 'value': -197}"
r5k1/1p3pp1/2p2r1p/p1nP3b/P1P1P3/2Q1RNqP/6B1/R5K1 b - - 4 29,"{'type': 'cp', 'value': -287}"
r5k1/1p3pp1/2p3rp/p1nP3b/P1P1P3/2Q1RNqP/6B1/R5K1 w - - 5 30,"{'type': 'cp', 'value': -230}"
r5k1/1p3pp1/2p3rp/p1nP3b/P1P1P3/2Q1RNqP/R5B1/6K1 b - - 6 30,"{'type': 'cp', 'value': -249}"
r5k1/1p3pp1/2p3rp/p2P3b/P1P1n3/2Q1RNqP/R5B1/6K1 w - - 0 31,"{'type': 'cp', 'value': -197}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pppp1ppp/4p3/7Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 1 2,"{'type': 'cp', 'value': -50}"
rnbqkbnr/pppp1p1p/4p1p1/7Q/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 0 3,"{'type': 'cp', 'value': -12}"
rnbqkbnr/pppp1p1p/4p1p1/4Q3/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 1 3,"{'type': 'cp', 'value': -56}"
rnbqkb1r/pppp1p1p/4pnp1/4Q3/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 2 4,"{'type': 'cp', 'value': -69}"
rnbqkb1r/pppp1p1p/4pnp1/4Q3/3PP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 4,"{'type': 'cp', 'value': -196}"
rnbqkb1r/ppp2p1p/3ppnp1/4Q3/3PP3/8/PPP2PPP/RNB1KBNR w KQkq - 0 5,"{'type': 'cp', 'value': -53}"
rnbqkb1r/ppp2p1p/3ppnp1/1Q6/3PP3/8/PPP2PPP/RNB1KBNR b KQkq - 1 5,"{'type': 'cp', 'value': -72}"
rn1qkb1r/pppb1p1p/3ppnp1/1Q6/3PP3/8/PPP2PPP/RNB1KBNR w KQkq - 2 6,"{'type': 'cp', 'value': -31}"
rn1qkb1r/pQpb1p1p/3ppnp1/8/3PP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 6,"{'type': 'cp', 'value': -85}"
rn1qkb1r/pQp2p1p/2bppnp1/8/3PP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 7,"{'type': 'cp', 'value': 167}"
rn1qkb1r/p1p2p1p/2bppnp1/8/3PP3/1Q6/PPP2PPP/RNB1KBNR b KQkq - 2 7,"{'type': 'cp', 'value': -49}"
rn1qkb1r/p1p2p1p/2bpp1p1/8/3Pn3/1Q6/PPP2PPP/RNB1KBNR w KQkq - 0 8,"{'type': 'cp', 'value': -45}"
rn1qkb1r/p1p2p1p/2bpp1p1/8/3Pn3/4Q3/PPP2PPP/RNB1KBNR b KQkq - 1 8,"{'type': 'cp', 'value': -87}"
r2qkb1r/p1pn1p1p/2bpp1p1/8/3Pn3/4Q3/PPP2PPP/RNB1KBNR w KQkq - 2 9,"{'type': 'cp', 'value': -92}"
r2qkb1r/p1pn1p1p/2bpp1p1/8/3Pn3/4QP2/PPP3PP/RNB1KBNR b KQkq - 0 9,"{'type': 'cp', 'value': -352}"
r2qkb1r/p1pn1p1p/2bppnp1/8/3P4/4QP2/PPP3PP/RNB1KBNR w KQkq - 1 10,"{'type': 'cp', 'value': -105}"
r2qkb1r/p1pn1p1p/2bppnp1/8/3P4/3BQP2/PPP3PP/RNB1K1NR b KQkq - 2 10,"{'type': 'cp', 'value': -108}"
r2qk2r/p1pn1pbp/2bppnp1/8/3P4/3BQP2/PPP3PP/RNB1K1NR w KQkq - 3 11,"{'type': 'cp', 'value': -95}"
r2qk2r/p1pn1pbp/2bppnp1/8/3P4/3B1P2/PPP2QPP/RNB1K1NR b KQkq - 4 11,"{'type': 'cp', 'value': -97}"
r2qk2r/p1pn1pbp/2bpp1p1/7n/3P4/3B1P2/PPP2QPP/RNB1K1NR w KQkq - 5 12,"{'type': 'cp', 'value': -69}"
r2qk2r/p1pn1pbp/2bpp1p1/7n/3P2P1/3B1P2/PPP2Q1P/RNB1K1NR b KQkq - 0 12,"{'type': 'cp', 'value': -141}"
r2qk2r/p1pn1pbp/2bpp1p1/8/3P1nP1/3B1P2/PPP2Q1P/RNB1K1NR w KQkq - 1 13,"{'type': 'cp', 'value': 283}"
r2qk2r/p1pn1pbp/2bpp1p1/8/3P1nP1/3B1PQ1/PPP4P/RNB1K1NR b KQkq - 2 13,"{'type': 'cp', 'value': -377}"
r2qk2r/p1pn1pbp/2bpp1p1/8/3P2P1/3n1PQ1/PPP4P/RNB1K1NR w KQkq - 0 14,"{'type': 'cp', 'value': -380}"
r2qk2r/p1pn1pbp/2bpp1p1/8/3P2P1/3P1PQ1/PP5P/RNB1K1NR b KQkq - 0 14,"{'type': 'cp', 'value': -363}"
r2qk2r/p1pn1p1p/2bpp1p1/8/3b2P1/3P1PQ1/PP5P/RNB1K1NR w KQkq - 0 15,"{'type': 'cp', 'value': -391}"
r2qk2r/p1pn1p1p/2bpp1p1/8/3b2P1/2NP1PQ1/PP5P/R1B1K1NR b KQkq - 1 15,"{'type': 'cp', 'value': -452}"
r2qk2r/p1p2p1p/2bpp1p1/2n5/3b2P1/2NP1PQ1/PP5P/R1B1K1NR w KQkq - 2 16,"{'type': 'cp', 'value': -463}"
r2qk2r/p1p2p1p/2bpp1p1/2n5/3b2P1/2NPBPQ1/PP5P/R3K1NR b KQkq - 3 16,"{'type': 'cp', 'value': -660}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 36}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 43}"
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,"{'type': 'cp', 'value': 38}"
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,"{'type': 'cp', 'value': 24}"
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,"{'type': 'cp', 'value': 27}"
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4,"{'type': 'cp', 'value': 2}"
r1b1kb1r/ppppqppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq - 6 5,"{'type': 'cp', 'value': 196}"
r1b1kb1r/ppppqppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQ1RK1 b kq - 7 5,"{'type': 'cp', 'value': 46}"
r1b1kb1r/ppppqppp/2n5/4p1N1/2B1n3/8/PPPP1PPP/RNBQ1RK1 w kq - 0 6,"{'type': 'cp', 'value': 388}"
r1b1kb1r/ppppqppp/2n5/4p3/2B1N3/8/PPPP1PPP/RNBQ1RK1 b kq - 0 6,"{'type': 'cp', 'value': 408}"
r1b1kb1r/ppppqpp1/2n4p/4p3/2B1N3/8/PPPP1PPP/RNBQ1RK1 w kq - 0 7,"{'type': 'cp', 'value': 433}"
r1b1kb1r/ppppqpp1/2n4p/4p3/2B1N3/8/PPPP1PPP/RNBQR1K1 b kq - 1 7,"{'type': 'cp', 'value': 437}"
r1b1kb1r/pppp1pp1/2n4p/4p3/2B1N2q/8/PPPP1PPP/RNBQR1K1 w kq - 2 8,"{'type': 'cp', 'value': 397}"
r1b1kb1r/pppp1pp1/2n4p/4p3/2B1N2q/6P1/PPPP1P1P/RNBQR1K1 b kq - 0 8,"{'type': 'cp', 'value': 419}"
r1bqkb1r/pppp1pp1/2n4p/4p3/2B1N3/6P1/PPPP1P1P/RNBQR1K1 w kq - 1 9,"{'type': 'cp', 'value': 464}"
r1bqkb1r/pppp1pp1/2n4p/4p3/2B5/2N3P1/PPPP1P1P/RNBQR1K1 b kq - 2 9,"{'type': 'cp', 'value': 369}"
r1bqk2r/pppp1pp1/2n4p/2b1p3/2B5/2N3P1/PPPP1P1P/RNBQR1K1 w kq - 3 10,"{'type': 'cp', 'value': 387}"
r1bqk2r/pppp1pp1/2n4p/2b1p3/2B5/2N3P1/PPPP1P1P/RNBQR2K b kq - 4 10,"{'type': 'cp', 'value': 277}"
r1bq1rk1/pppp1pp1/2n4p/2b1p3/2B5/2N3P1/PPPP1P1P/RNBQR2K w - - 5 11,"{'type': 'cp', 'value': 296}"
r1bq1rk1/pppp1pp1/2n4p/2b1p3/2B2P2/2N3P1/PPPP3P/RNBQR2K b - - 0 11,"{'type': 'cp', 'value': 155}"
r1bq1rk1/ppp2pp1/2np3p/2b1p3/2B2P2/2N3P1/PPPP3P/RNBQR2K w - - 0 12,"{'type': 'cp', 'value': 194}"
r1bq1rk1/ppp2pp1/2np3p/2b1P3/2B5/2N3P1/PPPP3P/RNBQR2K b - - 0 12,"{'type': 'cp', 'value': 82}"
r1bq1rk1/ppp2pp1/2n4p/2b1p3/2B5/2N3P1/PPPP3P/RNBQR2K w - - 0 13,"{'type': 'cp', 'value': 241}"
r1bq1rk1/ppp2pp1/2n4p/2b1p3/2B5/2N3P1/PPPP3P/RNBQ1R1K b - - 1 13,"{'type': 'cp', 'value': 89}"
r1b2rk1/pppq1pp1/2n4p/2b1p3/2B5/2N3P1/PPPP3P/RNBQ1R1K w - - 2 14,"{'type': 'cp', 'value': 255}"
r1b2rk1/pppq1pp1/2n4p/2bNp3/2B5/6P1/PPPP3P/RNBQ1R1K b - - 3 14,"{'type': 'cp', 'value': -252}"
r1b2rk1/p1pq1pp1/1pn4p/2bNp3/2B5/6P1/PPPP3P/RNBQ1R1K w - - 0 15,"{'type': 'cp', 'value': 94}"
r1b2rk1/p1pq1pp1/1pn4p/2bNp2Q/2B5/6P1/PPPP3P/RNB2R1K b - - 1 15,"{'type': 'cp', 'value': 0}"
r1bn1rk1/p1pq1pp1/1p5p/2bNp2Q/2B5/6P1/PPPP3P/RNB2R1K w - - 2 16,"{'type': 'cp', 'value': 172}"
r1bn1rk1/p1pq1pp1/1p5p/2bNp2Q/2B3P1/8/PPPP3P/RNB2R1K b - - 0 16,"{'type': 'cp', 'value': -44}"
r2n1rk1/pbpq1pp1/1p5p/2bNp2Q/2B3P1/8/PPPP3P/RNB2R1K w - - 1 17,"{'type': 'cp', 'value': -34}"
r2n1rk1/pbpq1pp1/1p5p/2bNp1PQ/2B5/8/PPPP3P/RNB2R1K b - - 0 17,"{'type': 'cp', 'value': -373}"
r2n1rk1/p1pq1pp1/1p5p/2bbp1PQ/2B5/8/PPPP3P/RNB2R1K w - - 0 18,"{'type': 'cp', 'value': -384}"
r2n1rk1/p1pq1pp1/1p5p/2bBp1PQ/8/8/PPPP3P/RNB2R1K b - - 0 18,"{'type': 'cp', 'value': -403}"
r2n1rk1/p1p2pp1/1p5p/2bqp1PQ/8/8/PPPP3P/RNB2R1K w - - 0 19,"{'type': 'cp', 'value': -386}"
r2n1rk1/p1p2pp1/1p5p/2bqp1PQ/8/5R2/PPPP3P/RNB4K b - - 1 19,"{'type': 'cp', 'value': -331}"
r2n1rk1/p1p2pp1/1p6/2bqp1pQ/8/5R2/PPPP3P/RNB4K w - - 0 20,"{'type': 'cp', 'value': -357}"
r2n1rk1/p1p2pp1/1p6/2bqp1Q1/8/5R2/PPPP3P/RNB4K b - - 0 20,"{'type': 'mate', 'value': -3}"
r2n1rk1/p1p2pp1/1p6/2b1p1Q1/8/5q2/PPPP3P/RNB4K w - - 0 21,"{'type': 'mate', 'value': -2}"
r2n1rk1/p1p2pp1/1p6/2b1p3/8/5q2/PPPP2QP/RNB4K b - - 1 21,"{'type': 'mate', 'value': -2}"
r2n1rk1/p1p2pp1/1p6/2b1p3/8/8/PPPP2QP/RNBq3K w - - 2 22,"{'type': 'mate', 'value': -1}"
r2n1rk1/p1p2pp1/1p6/2b1p3/8/8/PPPP3P/RNBq1Q1K b - - 3 22,"{'type': 'mate', 'value': -1}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 36}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 43}"
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,"{'type': 'cp', 'value': 38}"
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,"{'type': 'cp', 'value': 24}"
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,"{'type': 'cp', 'value': 27}"
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,"{'type': 'cp', 'value': -21}"
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5,"{'type': 'cp', 'value': 9}"
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5,"{'type': 'cp', 'value': 18}"
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w - - 8 6,"{'type': 'cp', 'value': 12}"
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQNRK1 b - - 9 6,"{'type': 'cp', 'value': -42}"
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQNRK1 w - - 0 7,"{'type': 'cp', 'value': -37}"
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP4/PPP2PPP/R1BQNRK1 b - - 0 7,"{'type': 'cp', 'value': -89}"
r1bqnrk1/ppp2ppp/2np4/2b1p3/2B1P3/2NP4/PPP2PPP/R1BQNRK1 w - - 1 8,"{'type': 'cp', 'value': 26}"
r1bqnrk1/ppp2ppp/2np4/2b1p3/2B1P3/2NP1Q2/PPP2PPP/R1B1NRK1 b - - 2 8,"{'type': 'cp', 'value': -60}"
r1bqnrk1/ppp2ppp/3p4/2b1p3/2BnP3/2NP1Q2/PPP2PPP/R1B1NRK1 w - - 3 9,"{'type': 'cp', 'value': -61}"
r1bqnrk1/ppp2ppp/3p4/2b1p3/2BnP3/2NP2Q1/PPP2PPP/R1B1NRK1 b - - 4 9,"{'type': 'cp', 'value': -91}"
r1bqnrk1/ppp2ppp/3p4/4p3/1bBnP3/2NP2Q1/PPP2PPP/R1B1NRK1 w - - 5 10,"{'type': 'cp', 'value': -31}"
r1bqnrk1/ppp2ppp/3p3B/4p3/1bBnP3/2NP2Q1/PPP2PPP/R3NRK1 b - - 6 10,"{'type': 'cp', 'value': -465}"
r1bqnrk1/ppp2p1p/3p2pB/4p3/1bBnP3/2NP2Q1/PPP2PPP/R3NRK1 w - - 0 11,"{'type': 'cp', 'value': 197}"
r1bqnBk1/ppp2p1p/3p2p1/4p3/1bBnP3/2NP2Q1/PPP2PPP/R3NRK1 b - - 0 11,"{'type': 'cp', 'value': -16}"
r1bqnBk1/ppp2p1p/3p2p1/4p3/2BnP3/2bP2Q1/PPP2PPP/R3NRK1 w - - 0 12,"{'type': 'cp', 'value': 0}"
r1bqnBk1/ppp2p1p/3p2p1/4p3/2BnP3/2bPQ3/PPP2PPP/R3NRK1 b - - 1 12,"{'type': 'cp', 'value': 0}"
r1bqnk2/ppp2p1p/3p2p1/4p3/2BnP3/2bPQ3/PPP2PPP/R3NRK1 w - - 0 13,"{'type': 'cp', 'value': 353}"
r1bqnk2/ppp2p1p/3p2p1/4p3/2BnP3/2PPQ3/P1P2PPP/R3NRK1 b - - 0 13,"{'type': 'cp', 'value': 379}"
r1bqnk2/ppp2p1p/2np2p1/4p3/2B1P3/2PPQ3/P1P2PPP/R3NRK1 w - - 1 14,"{'type': 'cp', 'value': 426}"
r1bqnk2/ppp2p1p/2np2p1/4p3/2B1P3/2PP1Q2/P1P2PPP/R3NRK1 b - - 2 14,"{'type': 'cp', 'value': 283}"
r1bq1k2/ppp2p1p/2np1np1/4p3/2B1P3/2PP1Q2/P1P2PPP/R3NRK1 w - - 3 15,"{'type': 'cp', 'value': 269}"
r1bq1k2/ppp2p1p/2np1np1/4p3/2B1P3/2PP1Q2/P1P2PPP/3RNRK1 b - - 4 15,"{'type': 'cp', 'value': -256}"
r2q1k2/ppp2p1p/2np1np1/4p3/2B1P1b1/2PP1Q2/P1P2PPP/3RNRK1 w - - 5 16,"{'type': 'cp', 'value': -265}"
r2q1k2/ppp2p1p/2np1np1/4p3/2B1P1b1/2PP2Q1/P1P2PPP/3RNRK1 b - - 6 16,"{'type': 'cp', 'value': -374}"
r2q1k2/ppp2p1p/2np1np1/4p3/2B1P3/2PP2Q1/P1P2PPP/3bNRK1 w - - 0 17,"{'type': 'cp', 'value': -384}"
r2q1k2/ppp2p1p/2np1np1/4p3/2B1P3/2PP2QP/P1P2PP1/3bNRK1 b - - 0 17,"{'type': 'cp', 'value': -505}"
r2q1k2/ppp2p1p/2np1np1/4p3/2B1P3/2PP2QP/P1P1bPP1/4NRK1 w - - 1 18,"{'type': 'cp', 'value': -488}"
r2q1k2/ppp2p1p/2np1np1/4p3/2B1P3/2PP1NQP/P1P1bPP1/5RK1 b - - 2 18,"{'type': 'cp', 'value': -541}"
r2q1k2/ppp2p1p/2np2p1/4p2n/2B1P3/2PP1NQP/P1P1bPP1/5RK1 w - - 3 19,"{'type': 'cp', 'value': -548}"
r2q1k2/ppp2p1p/2np2p1/4p2n/2B1P1Q1/2PP1N1P/P1P1bPP1/5RK1 b - - 4 19,"{'type': 'cp', 'value': -482}"
r2q1k2/ppp2p1p/2np2p1/4p2n/2B1P1Q1/2PP1N1P/P1P2PP1/5bK1 w - - 0 20,"{'type': 'cp', 'value': -482}"
r2q1k2/ppp2p1p/2np2p1/4p2n/2B1P1Q1/2PP1N1P/P1P2PP1/5K2 b - - 0 20,"{'type': 'cp', 'value': -485}"
r2q1k2/ppp2p1p/2np1np1/4p3/2B1P1Q1/2PP1N1P/P1P2PP1/5K2 w - - 1 21,"{'type': 'cp', 'value': -489}"
r2q1k2/ppp2p1p/2np1np1/4p1N1/2B1P1Q1/2PP3P/P1P2PP1/5K2 b - - 2 21,"{'type': 'cp', 'value': -700}"
r2q1k2/ppp2p1p/2np2p1/4p1N1/2B1P1n1/2PP3P/P1P2PP1/5K2 w - - 0 22,"{'type': 'cp', 'value': -637}"
r2q1k2/ppp2N1p/2np2p1/4p3/2B1P1n1/2PP3P/P1P2PP1/5K2 b - - 0 22,"{'type': 'cp', 'value': -662}"
r2q1k2/ppp2N1p/2np2p1/4p3/2B1P3/2PP3P/P1P2PPn/5K2 w - - 1 23,"{'type': 'cp', 'value': -677}"
r2q1k2/ppp2N1p/2np2p1/4p3/2B1P3/2PP3P/P1P2PPn/6K1 b - - 2 23,"{'type': 'cp', 'value': -629}"
r4k2/ppp2N1p/2np2p1/4p3/2B1P2q/2PP3P/P1P2PPn/6K1 w - - 3 24,"{'type': 'cp', 'value': -631}"
r4k2/ppp2N1p/2np2p1/4p3/2B1P2q/2PP3P/P1P2PPK/8 b - - 0 24,"{'type': 'cp', 'value': -687}"
r4k2/ppp2N1p/2np2p1/4p3/2B1P3/2PP3P/P1P2qPK/8 w - - 0 25,"{'type': 'cp', 'value': -692}"
r4k2/ppp2N1p/2npB1p1/4p3/4P3/2PP3P/P1P2qPK/8 b - - 1 25,"{'type': 'cp', 'value': -740}"
r2n1k2/ppp2N1p/3pB1p1/4p3/4P3/2PP3P/P1P2qPK/8 w - - 2 26,"{'type': 'cp', 'value': -710}"
r2N1k2/ppp4p/3pB1p1/4p3/4P3/2PP3P/P1P2qPK/8 b - - 0 26,"{'type': 'cp', 'value': -714}"
3r1k2/ppp4p/3pB1p1/4p3/4P3/2PP3P/P1P2qPK/8 w - - 0 27,"{'type': 'cp', 'value': -773}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 36}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 43}"
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,"{'type': 'cp', 'value': 38}"
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,"{'type': 'cp', 'value': 24}"
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,"{'type': 'cp', 'value': 27}"
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,"{'type': 'cp', 'value': -21}"
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5,"{'type': 'cp', 'value': 9}"
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5,"{'type': 'cp', 'value': 18}"
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w - - 8 6,"{'type': 'cp', 'value': 12}"
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQNRK1 b - - 9 6,"{'type': 'cp', 'value': -42}"
r1bqnrk1/pppp1ppp/2n5/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQNRK1 w - - 10 7,"{'type': 'cp', 'value': 15}"
